,Source,Time Stamp,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score
34,BBCWorld,Wed Aug 01 08:35:10 +0000 2018,Swedish crown jewels: Speedboat thieves steal priceless treasures https://t.co/sHFod8j8YC,-0.1779,0.335,0.289,0.376
35,BBCWorld,Wed Aug 01 08:01:52 +0000 2018,Zimbabwe's Zanu-PF 'has most seats' https://t.co/mlJ5PgtEfa,0.0,0.0,1.0,0.0
36,BBCWorld,Wed Aug 01 07:46:07 +0000 2018,"Meet Mamma Maria, the Greek mother who feeds refugees and says threats won't stop her 

https://t.co/KVh5uI8dTw https://t.co/QTnNvrgRvz",-0.2292,0.096,0.762,0.142
37,BBCWorld,Wed Aug 01 06:37:35 +0000 2018,"Not Middle Earth or Westeros, but Vietnam. 

This outstanding new bridge has taken the internet by storm… https://t.co/j8IkZyk1ky",0.7579,0.244,0.756,0.0
38,BBCWorld,Wed Aug 01 05:53:37 +0000 2018,"RT @BBCSport: Incredible.

Johanna Konta has inflicted the worst defeat of Serena Williams' career 👉 https://t.co/G8me6nYIG0 https://t.co/Q…",-0.7964,0.0,0.664,0.336
39,BBCWorld,Wed Aug 01 04:59:52 +0000 2018,Window-smashing kangaroo escapes from shelter in Australia https://t.co/P4sbbcV3wS,0.128,0.176,0.824,0.0
40,BBCWorld,Wed Aug 01 03:02:23 +0000 2018,"RT @SallyBundockBBC: If you are a #Facebook user tell us what you're up to. Do you use the social media platform to connect, for news, shop…",0.0,0.0,1.0,0.0
41,BBCWorld,Wed Aug 01 02:56:19 +0000 2018,Plastic bags: Australia anger over Coles 'caving in to tantrums' https://t.co/rKmTzka50v,-0.7351,0.0,0.592,0.408
42,BBCWorld,Wed Aug 01 02:13:11 +0000 2018,How to print your own firearm https://t.co/QwdhuPa7MJ,0.0,0.0,1.0,0.0
43,BBCWorld,Wed Aug 01 01:53:35 +0000 2018,US release of 3D-printed gun software blocked https://t.co/KupI0zwD3i,-0.5423,0.0,0.571,0.429
44,BBCWorld,Tue Jul 31 23:25:26 +0000 2018,100 Women: Playing mother to El Salvador's gang children https://t.co/JbpDgxJGQr,0.2023,0.167,0.833,0.0
45,BBCWorld,Tue Jul 31 23:05:54 +0000 2018,Disinvited - the bridesmaids no longer needed https://t.co/J1GHxeizPL,-0.296,0.0,0.732,0.268
46,BBCWorld,Tue Jul 31 23:03:24 +0000 2018,Black Panther spin-off: How author Nnedi Okorafor found her identity https://t.co/ckuLR5VGzw,0.0,0.0,1.0,0.0
47,BBCWorld,Tue Jul 31 22:47:08 +0000 2018,US embassy in London auctions off toilet rolls and old goods https://t.co/L3AJUtNMDB,0.0,0.0,1.0,0.0
48,BBCWorld,Tue Jul 31 22:01:07 +0000 2018,Canada says it is using DNA websites to identify some migrants https://t.co/r0DMkoIp9M,0.0,0.0,1.0,0.0
49,BBCWorld,Tue Jul 31 21:43:38 +0000 2018,Airliner crashes in Mexico - reports https://t.co/4omqnDT7gZ,0.0,0.0,1.0,0.0
50,BBCWorld,Tue Jul 31 21:42:30 +0000 2018,"RT @BBCBreaking: Plane with at least 80 on board crashes in Mexican city of Durango, local media report https://t.co/BrNF7LDkq8",0.0,0.0,1.0,0.0
